id,category,conf,size
1a33843v,sheep,0.6923885941505432,97
1a33843v,sheep,0.5309655666351318,254
1a33844v,person,0.998831570148468,212134
1a33844v,person,0.9958845973014832,209360
1a33845v,person,0.9965066313743591,5436
1a33845v,person,0.9927829504013062,5855
1a33845v,person,0.9813746809959412,7436
1a33845v,truck,0.9745739102363586,13023
1a33845v,truck,0.965394914150238,107798
1a33845v,truck,0.9603028893470764,6438
1a33845v,truck,0.9250401258468628,13841
1a33845v,truck,0.7250664234161377,5496
1a33845v,person,0.6495988965034485,1274
1a33845v,truck,0.6441258192062378,3121
1a33845v,truck,0.535429835319519,46973
1a33845v,truck,0.5042786598205566,2220
1a33849v,person,0.9985363483428955,13815
1a33849v,person,0.997998058795929,11067
1a33849v,person,0.997962236404419,16521
1a33849v,person,0.9975940585136414,13477
1a33849v,person,0.9975186586380005,15869
1a33849v,person,0.9963459372520447,13442
1a33849v,person,0.9963293671607971,8806
1a33849v,person,0.9904621243476868,13129
1a33849v,car,0.8992244601249695,26141
1a33849v,handbag,0.592548668384552,1030
1a33849v,handbag,0.5655083656311035,1883
1a33849v,person,0.5282788276672363,9106
1a33850v,clock,0.7821280360221863,253
1a33852v,person,0.9986818432807922,16585
1a33852v,person,0.9977028965950012,25232
1a33852v,person,0.9964298605918884,18660
1a33852v,person,0.9930376410484314,42636
1a33852v,person,0.9896036386489868,19265
1a33852v,person,0.9890605211257935,12241
1a33852v,person,0.9765210747718811,14964
1a33852v,person,0.9135995507240295,2329
1a33852v,umbrella,0.8891786336898804,6287
1a33852v,handbag,0.822088360786438,2956
1a33852v,person,0.7669618129730225,11415
1a33852v,bench,0.5674884915351868,4877
1a33852v,backpack,0.5669360160827637,1401
1a33853v,person,0.9969483017921448,6824
1a33853v,person,0.990909993648529,4762
1a33853v,person,0.9883798360824585,7092
1a33853v,person,0.9724150896072388,5993
1a33853v,person,0.9711831212043762,4140
1a33853v,dog,0.9513731598854065,2582
1a33853v,person,0.9453246593475342,4119
1a33853v,person,0.9183289408683777,2320
1a33853v,person,0.8085167407989502,3096
1a33853v,person,0.7716047167778015,2249
1a33853v,person,0.728182852268219,3803
1a33854v,person,0.9558556079864502,1718
1a33854v,person,0.9192013740539551,2130
1a33854v,person,0.8386691808700562,710
1a33854v,person,0.8278337121009827,2038
1a33854v,person,0.8180089592933655,733
1a33854v,truck,0.7497126460075378,20847
1a33854v,person,0.7480064630508423,2502
1a33854v,person,0.6940033435821533,1166
1a33854v,bench,0.6522155404090881,4056
1a33854v,person,0.637001097202301,1327
1a33854v,dog,0.5809580087661743,473
1a33854v,person,0.5450590252876282,369
1a33854v,person,0.519929051399231,749
1a33856v,person,0.9970560073852539,7945
1a33856v,person,0.9967582821846008,6165
1a33856v,person,0.9961821436882019,7331
1a33856v,person,0.967684268951416,7881
1a33856v,person,0.9669304490089417,4846
1a33856v,person,0.93571937084198,1908
1a33856v,traffic light,0.9012358784675598,1862
1a33856v,person,0.8900039196014404,6002
1a33856v,person,0.8590909242630005,1591
1a33856v,traffic light,0.6734814643859863,1565
1a33856v,person,0.6453716158866882,1042
1a33856v,handbag,0.6181871294975281,1852
1a33856v,person,0.5411615371704102,347
1a33856v,person,0.5000866651535034,2376
1a33857v,car,0.833111584186554,3826
1a33857v,car,0.6960721611976624,2130
1a33857v,car,0.688285768032074,740
1a33858v,clock,0.9968563318252563,1236
1a33858v,train,0.9305180311203003,85676
1a33858v,train,0.6499176621437073,41639
1a33858v,train,0.5154810547828674,38179
1a33860v,car,0.7201048731803894,228
1a33860v,car,0.6795088648796082,1191
1a33860v,person,0.551521897315979,304
1a33861v,person,0.9939663410186768,5724
1a33861v,person,0.9938685297966003,8129
1a33861v,person,0.9870699644088745,4176
1a33861v,person,0.97724449634552,3546
1a33861v,person,0.9688451290130615,3906
1a33861v,person,0.9579915404319763,3692
1a33861v,person,0.923466682434082,5216
1a33861v,person,0.9143576622009277,3055
1a33861v,person,0.7962347865104675,4747
1a33861v,person,0.764313817024231,3863
1a33861v,person,0.7520949840545654,2080
1a33861v,backpack,0.7049309611320496,2219
1a33861v,person,0.6333281397819519,2582
1a33861v,person,0.6096023321151733,8954
1a33862v,traffic light,0.9318504333496094,13575
1a33863v,train,0.9843407273292542,2061
1a33863v,train,0.7975770235061646,21497
1a33865v,person,0.9986658096313477,2183
1a33865v,person,0.9953017234802246,2768
1a33865v,person,0.9911291599273682,2406
1a33865v,person,0.9718676805496216,259
1a33865v,person,0.9436498880386353,231
1a33865v,person,0.93021392822265625,181
1a33865v,person,0.9182394742965698,146
1a33865v,person,0.8893875479698181,272
1a33865v,person,0.831027626991272,198
1a33865v,person,0.7892467975616455,246
1a33866v,car,0.9785288572311401,10265
1a33867v,motorcycle,0.7177469730377197,76604
1a33867v,traffic light,0.5505616664886475,1138
1a33869v,bird,0.6008057594299316,72
1a33870v,person,0.9958456158638,2630
1a33870v,person,0.9951552152633667,2502
1a33870v,person,0.9491545557975769,187
1a33870v,person,0.9456431269645691,169
1a33870v,person,0.9124515652656555,151
1a33870v,person,0.897974967956543,274
1a33870v,person,0.8526797294616699,247
1a33870v,person,0.7796042561531067,204
1a33870v,person,0.6494744420051575,619
1a33870v,person,0.6234121918678284,27
1a33870v,person,0.598026692867279,124
1a33870v,skis,0.5443342924118042,1269
1a33870v,surfboard,0.5279577970504761,542
1a33871v,person,0.9991127848625183,41372
1a33871v,person,0.9988584518432617,36039
1a33871v,person,0.998343825340271,37339
1a33871v,person,0.9964619278907776,33310
1a33871v,person,0.7223801016807556,6692
1a33871v,person,0.719291090965271,17449
1a33872v,person,0.9858711361885071,260
1a33872v,person,0.9613630771636963,866
1a33872v,person,0.9279093742370605,156
1a33872v,person,0.7850109934806824,115
1a33872v,person,0.601345419883728,357
1a33873v,person,0.9988048076629639,26747
1a33873v,person,0.9982765913009644,23707
1a33873v,person,0.9968173503875732,18288
1a33873v,person,0.989987313747406,12584
1a33873v,person,0.989807665348053,19506
1a33873v,person,0.9584541320800781,10585
1a33873v,person,0.9131402969360352,5508
1a33873v,person,0.7272108793258667,18075
1a33873v,handbag,0.7230270504951477,1864
1a33874v,person,0.9952449202537537,14340
1a33874v,person,0.995225191116333,16609
1a33874v,person,0.9942495822906494,13196
1a33874v,horse,0.6900333762168884,30719
1a33875v,horse,0.9974583983421326,134818
1a33875v,person,0.9888532161712646,20387
1a33875v,person,0.9772047400474548,15797
1a33875v,person,0.9682102799415588,8941
1a33875v,person,0.9527081847190857,11256
1a33875v,person,0.6384466886520386,9702
1a33876v,person,0.9958894848823547,11193
1a33876v,person,0.9940192699432373,10110
1a33876v,person,0.9844163060188293,7391
1a33876v,horse,0.9151971340179443,24421
1a33877v,person,0.9980852603912354,18574
1a33877v,person,0.9980564713478088,18684
1a33877v,person,0.9979572296142578,19184
1a33877v,person,0.980603039264679,8144
1a33877v,horse,0.8966043591499329,14773
1a33877v,person,0.7160282135009766,5034
1a33877v,baseball bat,0.6453948616981506,1997
1a33877v,backpack,0.5192345380783081,2235
1a33878v,person,0.9931672215461731,2660
1a33878v,person,0.9905205965042114,1932
1a33878v,person,0.9893561005592346,3625
1a33878v,person,0.9696434140205383,2700
1a33878v,dog,0.5688203573226929,2465
1a33878v,person,0.5114231109619141,2526
1a33879v,person,0.9991459846496582,91880
1a33879v,person,0.998578667640686,65622
1a33879v,person,0.998390793800354,39241
1a33879v,person,0.9979931116104126,61411
1a33879v,person,0.987663209438324,45682
1a33880v,sheep,0.5787916779518127,315
1a33881v,person,0.9951494336128235,1901
1a33881v,person,0.9945936799049377,1771
1a33881v,person,0.9925419092178345,3050
1a33881v,person,0.9625776410102844,1238
1a33881v,person,0.8279218077659607,1846
1a33882v,person,0.999025821685791,27336
1a33882v,person,0.9977813363075256,30336
1a33882v,person,0.9972002506256104,18226
1a33882v,person,0.9957513809204102,7573
1a33882v,person,0.9493920803070068,23645
1a33882v,person,0.9425337910652161,16008
